tripid,faremethod,fare,loc_from,loc_to,driverid,custid,distance,duration
81,1,578,37,35,30,94,25,17
82,2,462,26,31,19,40,3,21
83,3,567,20,13,27,48,14,4
84,2,111,10,6,25,50,2,17
85,4,108,16,8,17,37,6,12
86,2,1235,36,1,16,85,12,24
87,2,740,17,15,4,37,11,20
88,2,1162,3,22,25,41,7,15
89,2,179,6,1,10,98,22,1
90,1,1422,1,1,4,81,21,12
91,2,614,4,1,17,16,3,12
92,4,356,25,30,17,22,27,10
93,2,1246,18,37,2,10,24,12
94,2,393,22,17,1,3,12,3
95,4,1369,17,34,18,88,6,17
96,2,919,9,31,27,35,19,4
97,2,1148,36,31,15,83,20,3
98,1,835,24,16,18,88,24,14
99,1,326,30,2,1,28,2,3
100,2,878,37,22,8,55,3,21
101,2,1323,37,6,8,25,14,13
102,4,219,29,22,30,74,23,20
103,4,1424,15,5,2,8,10,20
104,1,880,20,16,29,78,10,12
105,2,99,37,11,3,52,13,5
106,2,1102,14,17,21,29,23,11
107,1,626,12,4,1,89,21,23
108,3,610,12,18,14,11,8,16
109,2,537,25,22,4,74,18,24
110,1,580,36,9,10,2,16,18
111,4,228,25,3,2,32,26,14
112,4,1247,22,33,11,58,24,12
113,3,977,13,28,28,3,14,7
114,3,927,36,34,24,71,16,8
115,2,1365,16,28,28,31,20,18
116,2,52,3,27,24,95,19,4
117,1,237,9,25,9,62,11,23
118,2,946,25,32,17,72,27,14
119,4,630,9,4,16,83,9,6
120,3,365,16,20,19,57,22,13
121,3,421,20,36,25,78,23,10
122,3,577,17,11,25,66,3,13
123,3,53,3,11,23,8,20,11
124,4,580,13,19,29,51,18,20
125,2,871,26,13,24,7,19,5
126,3,210,2,22,10,82,5,6
127,1,825,24,17,30,61,7,13
128,4,694,25,13,24,81,24,2
129,2,949,2,30,13,71,9,22
130,1,1430,13,32,3,15,15,20
131,2,86,3,15,14,67,27,15
132,1,299,22,2,5,64,14,1
133,3,1277,2,35,20,58,12,7
134,2,729,4,32,30,51,21,7
135,1,195,1,4,7,82,22,15
136,4,1367,1,29,1,31,27,24
137,2,386,12,32,8,7,7,21
138,4,1272,31,13,7,22,21,22
139,2,339,34,25,2,90,18,1
140,4,619,34,31,24,54,17,14
141,2,569,35,19,28,2,16,6
142,1,1166,2,26,20,1,27,12
143,1,752,33,9,10,93,13,23
144,4,1342,1,5,9,86,22,10
145,1,255,20,35,20,58,7,2
146,3,1439,28,12,23,74,9,1
147,4,867,11,28,16,5,16,1
148,4,944,23,20,2,47,8,4
149,2,283,3,23,25,67,24,19
150,1,601,25,10,16,27,19,24
151,1,429,32,13,16,80,3,16
152,3,105,29,28,7,64,24,22
153,4,464,14,37,6,87,4,9
154,2,183,29,18,23,73,5,10
155,2,1002,16,21,18,20,25,2
156,2,1098,2,24,8,83,19,7
157,2,783,10,25,27,8,2,3
158,2,1303,10,29,8,78,10,20
159,3,179,5,27,23,63,27,14
160,2,392,19,12,11,94,21,10
161,2,405,32,19,26,49,17,23
162,1,384,36,37,9,24,15,21
163,2,259,7,27,6,21,16,9
164,1,1486,5,28,21,92,15,7
165,2,549,5,33,30,16,26,2
166,3,236,33,17,27,44,15,11
167,2,1389,28,36,21,92,24,24
168,1,310,30,20,21,5,14,19
169,4,383,1,35,13,93,23,22
170,3,1461,36,21,22,73,24,13
171,2,532,3,9,28,80,24,22
172,4,1419,27,16,29,29,11,4
173,3,913,29,19,5,26,10,1
174,4,849,28,15,24,81,26,24
175,4,1057,36,22,21,12,18,2
176,2,350,12,5,5,78,25,8
177,3,122,5,36,12,29,16,21
178,3,957,22,33,9,83,10,15
179,4,597,17,29,6,72,8,7
180,1,1036,31,17,22,81,20,11
181,2,260,17,5,1,21,23,21
182,1,1277,34,5,25,56,8,1
183,4,679,1,34,26,1,9,13
184,2,1420,32,23,15,55,3,16
185,3,608,15,18,1,64,13,11
186,2,708,21,24,20,61,14,1
187,2,193,31,26,13,86,13,24
188,2,1224,8,7,19,73,11,12
189,2,178,9,35,3,57,15,18
190,1,1236,24,27,3,27,13,20
191,3,454,20,32,23,16,5,1
192,4,408,3,4,12,27,20,12
193,3,511,7,3,24,71,12,7
194,3,738,35,23,25,29,21,2
195,2,406,11,30,24,11,20,19
196,2,376,9,21,10,47,22,1
197,1,367,28,7,29,57,13,16
198,4,47,20,36,13,82,25,21
199,3,128,37,12,12,92,25,11
200,1,692,33,37,1,83,27,10
201,3,1496,3,8,7,56,17,20
202,4,476,20,1,22,6,6,23
203,4,226,1,13,27,57,9,6
204,4,1155,14,26,24,16,21,15
205,4,208,14,28,23,36,23,15
206,4,119,19,26,17,97,16,1
207,4,477,33,24,6,85,24,19
208,3,364,36,9,27,32,7,10
209,2,1219,24,28,5,40,26,6
210,2,256,3,29,4,34,6,22
211,4,546,27,29,14,69,27,5
212,3,108,10,8,10,68,25,13
213,3,406,15,11,6,44,17,15
214,4,594,3,29,3,68,3,6
215,1,1404,21,28,24,78,16,1
216,3,551,26,18,9,38,3,22
217,1,75,28,22,18,87,23,20
218,2,218,33,27,21,10,26,5
219,2,1409,5,3,27,10,11,6
220,2,988,29,26,10,69,2,7
221,3,164,29,27,15,35,20,20
222,1,671,19,15,15,55,20,7
223,1,506,16,1,20,51,10,16
224,2,569,20,24,29,72,6,1
225,4,173,35,12,5,46,3,24
226,2,770,22,27,15,88,5,10
227,1,477,11,11,4,65,21,1
228,2,227,3,28,18,47,23,18
229,2,110,16,21,11,70,9,18
230,2,501,16,14,5,26,17,19
231,1,701,34,30,14,15,8,3
232,1,1343,6,22,23,19,8,19
233,3,82,29,3,21,4,6,10
234,1,153,25,22,18,28,9,17
235,3,923,13,15,23,92,14,24
236,2,1050,12,37,17,96,20,5
237,3,806,15,28,24,92,25,4
238,1,929,9,18,8,71,7,22
239,4,1467,25,35,3,43,18,23
240,1,371,14,36,15,11,13,2
241,3,906,21,12,27,64,4,18
242,2,469,22,19,29,72,3,13
243,4,444,37,17,29,36,17,8
244,1,1157,33,3,4,37,20,13
245,4,1156,36,3,9,78,20,17
246,2,1388,15,4,2,19,6,10
247,1,79,5,18,18,64,3,12
248,4,1265,26,13,19,30,19,7
249,4,1052,35,15,28,99,16,21
250,3,594,17,16,11,13,6,3
251,1,424,35,30,21,82,27,4
252,3,1004,1,17,5,57,21,5
253,4,162,25,11,20,48,13,8
254,4,1462,11,36,20,57,12,15
255,3,197,36,12,3,71,9,5
256,1,78,4,20,4,63,4,23
257,2,1387,18,37,25,48,27,2
258,3,674,27,17,28,15,13,18
259,3,1381,6,5,22,39,4,15
260,3,930,36,24,3,93,8,22
261,4,1355,35,5,11,77,11,17
262,2,295,28,3,10,27,24,5
263,4,690,17,2,22,37,20,23
264,3,312,30,23,9,57,2,5
265,4,1063,17,2,13,61,13,20
266,4,296,4,28,21,22,10,4
267,2,697,37,23,29,73,10,15
268,3,566,30,34,6,14,4,18
269,4,1496,12,16,15,81,13,17
270,4,1350,17,28,3,72,4,17
271,4,812,27,16,3,76,13,13
272,2,1122,18,16,10,34,11,23
273,4,843,16,12,4,26,26,1
274,4,673,21,22,14,96,15,11
275,2,827,23,9,3,79,7,3
276,4,532,25,14,12,97,13,19
277,2,916,31,17,21,47,12,14
278,2,308,24,12,13,19,12,10
279,1,163,16,21,16,5,19,7
280,1,1055,35,32,27,7,24,4
281,4,1323,12,34,21,64,20,6
282,3,1346,36,30,19,53,12,1
283,4,812,5,4,19,99,2,15
284,2,510,18,29,17,92,18,12
285,3,505,19,34,3,51,17,23
286,4,87,24,16,14,47,16,13
287,2,1373,16,22,15,21,27,3
288,4,495,15,34,29,84,10,6
289,1,1327,15,22,30,78,16,5
290,2,805,10,19,25,75,23,4
291,2,930,33,30,1,43,5,21
292,1,972,28,28,25,64,20,11
293,2,610,17,8,12,60,4,14
294,1,58,35,29,24,37,7,5
295,4,812,37,35,20,24,7,1
296,2,844,12,2,25,9,10,9
297,4,997,11,2,13,68,16,5
298,4,194,24,2,25,60,6,10
299,2,535,5,24,16,92,13,15
300,3,464,21,5,11,58,5,6
301,1,1208,18,10,15,40,23,6
302,4,979,21,32,7,43,3,21
303,4,132,30,37,17,96,2,1
304,1,1282,23,24,18,99,3,23
305,2,1083,6,18,19,34,25,14
306,1,1284,26,15,16,49,26,17
307,4,260,10,25,24,28,4,14
308,1,1121,1,27,13,5,22,7
309,3,855,13,5,2,44,21,18
310,2,480,2,2,13,6,15,22
311,4,1003,6,35,14,51,9,2
312,2,797,37,25,20,36,20,3
313,1,996,9,9,3,52,23,8
314,4,699,22,18,26,38,6,1
315,3,300,16,18,8,34,10,18
316,3,1255,8,1,5,34,15,14
317,4,218,16,7,5,91,2,23
318,1,325,24,14,4,17,8,17
319,1,280,31,20,8,12,5,1
320,1,51,27,27,18,10,5,21
321,1,848,6,21,18,28,24,5
322,1,770,1,11,7,11,12,9
323,3,1038,31,11,15,42,4,1
324,2,527,23,36,22,82,26,24
325,1,1340,17,15,29,9,26,2
326,2,754,9,21,16,86,25,14
327,2,761,4,12,19,71,27,10
328,3,62,28,25,8,24,18,2
329,4,1209,16,33,24,13,4,15
330,3,1297,8,25,29,98,2,14
331,2,1154,16,26,3,60,9,1
332,4,1371,30,32,15,94,2,1
333,3,1076,32,35,13,27,27,6
334,2,135,20,37,28,70,14,12
335,3,1172,32,29,5,43,5,22
336,2,339,31,30,24,93,22,15
337,3,314,23,32,9,13,23,8
338,3,1228,26,21,9,43,8,13
339,2,1048,3,28,8,20,8,2
340,1,417,28,10,2,74,5,12
341,4,629,36,20,20,35,24,19
342,3,725,26,24,20,92,7,4
343,2,935,6,17,22,98,16,17
344,2,543,25,1,20,14,5,13
345,3,878,14,11,2,87,9,5
346,3,1145,21,13,11,23,17,23
347,3,59,32,33,17,95,16,22
348,3,713,1,8,29,98,21,23
349,4,615,10,31,30,65,14,21
350,3,1352,3,29,12,88,15,24
351,3,1347,29,29,3,46,2,3
352,2,977,1,29,28,15,22,14
353,3,612,2,4,29,67,17,5
354,1,401,35,24,19,2,26,22
355,4,1466,29,9,15,84,22,16
356,2,597,14,24,5,74,18,18
357,2,137,30,29,30,16,3,16
358,4,697,23,3,5,33,9,6
359,4,732,19,1,12,75,24,19
360,4,992,35,34,28,30,25,6
361,1,856,9,29,30,45,27,14
362,1,537,16,5,12,39,26,14
363,3,1174,37,33,15,78,5,4
364,3,642,33,27,8,99,19,23
365,1,905,25,12,14,32,6,8
366,2,1383,8,31,12,64,26,23
367,2,412,23,29,9,72,12,11
368,2,402,1,21,4,33,21,1
369,2,870,36,36,18,15,18,3
370,1,543,5,31,28,50,25,1
371,4,1184,6,13,11,58,23,23
372,4,364,2,5,24,55,14,14
373,1,1430,10,30,17,86,19,19
374,3,1370,29,23,6,33,15,5
375,2,1050,30,6,25,34,3,17
376,4,710,18,2,10,62,18,16
377,3,1130,31,24,24,19,17,9
378,3,345,16,29,24,21,13,24
379,4,302,24,14,21,12,10,20
380,4,574,27,7,28,4,3,14
381,4,88,35,19,28,92,8,9
382,1,820,26,9,27,68,22,2
383,4,138,35,7,13,36,10,15
384,4,357,24,2,17,58,11,8
385,1,572,9,16,10,18,24,1
386,2,527,10,15,12,2,17,23
387,2,1052,34,25,28,80,20,22
388,2,230,28,5,13,55,13,12
389,3,1223,2,3,27,77,27,20
390,4,664,25,7,9,58,26,24
391,3,1085,4,36,19,16,9,8
392,3,1360,18,15,19,47,11,6
393,2,934,28,11,21,22,14,7
394,1,134,19,27,4,34,26,6
395,1,672,22,23,24,41,8,11
396,1,137,28,16,2,4,10,23
397,1,598,8,20,7,35,26,15
398,4,734,4,17,19,64,18,22
399,4,879,9,9,19,27,14,8
400,3,649,22,7,4,49,9,3
401,2,287,12,29,28,34,20,21
402,2,702,4,28,24,52,16,15
403,3,775,16,29,21,14,10,7
404,3,714,27,31,12,20,2,12
405,3,421,28,12,3,51,19,3
406,4,1488,11,26,14,1,10,1
407,4,1436,20,19,8,39,18,17
408,1,1335,36,23,30,68,11,4
409,3,511,1,29,25,52,7,7
410,2,1264,6,11,4,29,20,20
411,3,1254,18,18,22,45,9,5
412,1,1355,37,8,5,30,6,23
413,2,87,34,14,12,32,13,6
414,3,98,12,24,23,85,12,5
415,1,70,6,18,24,15,8,16
416,4,634,35,5,7,56,13,9
417,3,940,9,6,27,81,9,7
418,2,355,18,14,22,66,15,19
419,4,234,14,27,29,22,24,18
420,3,1277,33,21,11,51,3,23
421,2,966,36,25,8,89,3,14
422,4,1150,9,28,16,11,20,6
423,4,590,32,5,4,71,2,22
424,4,1227,20,3,22,22,3,7
425,1,910,12,29,12,76,2,3
426,2,1464,34,10,7,61,21,24
427,2,263,8,21,22,73,9,18
428,3,550,19,33,2,3,8,7
429,2,390,7,8,10,74,3,9
430,4,267,37,10,10,74,11,12
431,1,1377,5,20,14,40,10,22
432,1,90,20,30,14,2,20,20
433,2,769,9,23,13,33,26,2
434,2,709,24,27,8,5,5,8
435,4,1053,36,11,9,40,17,23
436,4,1426,17,11,5,43,25,20
437,4,1417,17,11,28,78,9,12
438,1,1315,28,31,11,12,11,13
439,2,1227,6,2,21,95,2,18
440,2,1173,12,3,20,4,24,14
441,2,940,22,26,25,99,25,11
442,4,529,33,8,30,55,19,3
443,4,1376,6,37,10,87,12,11
444,2,867,31,33,9,38,7,12
445,4,977,4,34,19,8,3,4
446,3,44,15,20,10,99,15,14
447,2,262,12,8,23,57,20,22
448,3,982,17,20,7,61,5,24
449,1,666,20,35,14,54,15,9
450,4,1452,15,33,29,75,2,14
451,1,987,6,24,22,43,18,13
452,1,538,9,20,22,70,5,2
453,1,999,19,20,7,81,9,7
454,3,1293,8,32,4,52,11,19
455,3,1247,37,29,28,79,10,13
456,1,878,19,23,16,98,7,20
457,1,607,13,23,12,85,4,22
458,3,934,7,12,17,1,14,4
459,4,92,28,26,2,90,4,22
460,3,113,1,21,26,88,21,8
461,4,998,4,18,27,25,23,22
462,3,157,32,19,22,73,16,4
463,2,1328,34,10,9,17,17,13
464,1,1047,21,31,26,47,6,21
465,3,1113,37,35,4,39,16,13
466,1,609,13,37,13,82,11,14
467,1,1474,36,31,29,73,11,6
468,3,1205,30,18,2,88,26,10
469,1,603,28,37,19,12,21,9
470,4,1331,8,14,27,22,23,5
471,1,79,21,6,16,39,4,9
472,3,1493,31,31,4,33,20,23
473,1,1479,26,14,20,3,16,8
474,1,85,6,2,22,59,19,19
475,2,552,21,11,28,36,22,7
476,1,104,6,5,18,28,10,14
477,4,532,22,36,1,19,8,3
478,2,1355,33,3,4,25,20,14
479,3,1403,3,30,14,14,8,16
480,3,1168,2,6,30,58,27,21
481,3,969,19,9,26,43,7,11
482,2,539,35,37,17,24,13,21
483,3,1436,6,15,16,40,19,13
484,1,1468,12,7,19,99,23,12
485,2,1403,11,10,1,34,4,17
486,2,244,22,33,10,29,17,19
487,1,612,14,32,12,54,7,6
488,1,146,25,7,8,65,13,17
489,4,599,18,35,2,72,9,16
490,4,622,5,17,6,49,20,3
491,3,815,23,22,1,67,4,23
492,3,1055,1,1,5,63,26,13
493,2,276,12,2,13,25,7,9
494,3,790,23,21,12,44,23,7
495,2,1404,12,30,30,76,4,15
496,1,1134,32,12,1,15,24,3
497,2,572,24,24,20,92,25,8
498,3,798,16,36,6,14,15,1
499,4,1227,35,14,5,16,9,18
500,3,990,19,7,3,90,14,23
501,1,1170,21,25,29,23,24,23
502,3,1399,32,33,3,12,3,1
503,3,372,31,22,3,71,25,11
504,4,1047,16,3,19,23,12,11
505,3,295,4,34,1,71,4,4
506,4,1493,15,28,6,10,10,16
507,2,760,12,12,26,10,26,5
508,3,332,21,6,6,43,24,10
509,3,1299,3,32,25,46,21,23
510,1,66,4,28,27,67,9,8
511,1,146,19,27,6,99,15,14
512,4,120,3,3,29,6,26,15
513,4,1351,17,31,10,77,18,12
514,1,695,7,7,4,8,18,1
515,4,913,35,21,16,25,15,1
516,1,750,3,34,8,6,11,11
517,2,1175,21,5,27,90,27,21
518,2,567,18,25,4,84,19,23
519,4,965,17,29,9,86,6,18
520,2,610,11,36,23,22,2,18
521,4,1208,27,36,30,28,11,2
522,1,698,15,2,27,60,26,2
523,2,1481,7,31,12,70,10,14
524,1,846,32,4,17,19,20,18
525,4,1280,7,1,4,77,13,19
526,4,261,18,25,18,97,24,19
527,4,738,13,3,10,90,19,10
528,3,1385,19,6,13,52,6,2
529,3,1387,2,28,22,88,5,18
530,3,572,27,7,2,73,16,10
531,2,894,20,34,18,29,22,15
532,1,1227,12,5,8,34,21,16
533,3,801,7,30,21,49,23,19
534,2,946,16,16,24,70,12,16
535,3,885,35,5,17,52,13,17
536,3,1215,35,30,22,84,19,24
537,1,1082,11,34,21,64,18,19
538,1,913,16,7,17,87,3,2
539,3,148,25,6,24,60,5,17
540,3,895,32,23,10,74,25,14
541,3,235,11,13,16,85,10,24
542,3,334,36,25,25,61,19,9
543,4,588,19,16,1,14,16,9
544,2,779,22,2,5,93,14,6
545,1,1314,20,31,6,31,4,10
546,2,1155,28,37,28,22,15,13
547,3,1026,21,17,14,74,10,7
548,4,1431,37,7,13,26,14,10
549,2,676,28,17,13,89,4,13
550,2,805,23,19,11,63,13,5
551,2,502,33,37,13,53,8,14
552,2,863,13,19,15,67,12,22
553,3,1227,6,23,2,47,14,21
554,1,1085,3,33,2,75,27,1
555,4,318,7,28,26,58,20,10
556,4,689,27,28,5,47,3,8
557,4,1087,13,2,18,92,10,10
558,2,544,16,21,23,27,24,13
559,4,1193,21,1,3,27,26,2
560,1,241,8,20,27,23,15,9
561,1,710,14,24,12,37,12,17
562,3,1375,25,9,21,56,11,22
563,3,273,23,30,3,84,10,7
564,2,284,7,37,14,12,20,21
565,3,452,6,28,11,35,21,12
566,2,252,31,24,27,23,19,6
567,2,459,24,14,18,23,18,3
568,4,287,15,12,12,3,27,16
569,2,1062,29,22,27,38,9,1
570,1,701,10,6,1,88,6,11
571,1,1271,21,32,5,56,13,20
572,4,791,14,11,2,9,8,14
573,4,519,7,37,9,83,15,7
574,3,845,23,11,6,40,7,10
575,4,74,25,32,22,41,8,22
576,3,349,6,10,23,76,6,24
577,4,183,29,30,9,88,16,7
578,4,306,11,7,19,64,10,12
579,1,1453,33,1,28,22,8,6
580,4,785,35,21,25,5,7,21
581,1,1499,32,29,7,86,7,9
582,1,493,36,15,6,80,18,23
583,2,836,22,30,17,96,2,5
584,2,794,15,6,4,53,18,1
585,2,1326,1,3,13,95,23,14
586,4,245,30,36,24,22,20,18
587,4,295,2,12,24,67,14,11
588,2,310,32,8,13,9,3,14
589,4,721,1,22,8,19,6,15
590,1,236,27,17,19,29,15,22
591,2,723,31,12,20,87,4,11
592,4,400,24,13,4,35,10,18
593,3,328,23,18,20,63,20,12
594,4,553,10,37,9,47,5,6
595,4,841,5,1,16,65,3,8
596,4,1097,11,26,12,23,15,16
597,3,1394,18,19,16,76,6,24
598,2,798,21,16,9,6,8,3
599,1,549,14,7,30,46,26,12
600,3,141,7,1,24,83,14,9
601,4,261,28,5,29,59,25,12
602,1,1340,14,4,9,43,25,3
603,2,316,35,8,22,17,12,24
604,2,1144,31,9,9,32,15,9
605,1,1247,33,20,9,38,11,10
606,4,455,11,16,1,31,17,18
607,4,1260,6,17,23,27,10,22
608,4,348,29,13,24,37,6,20
609,4,143,32,20,7,73,7,6
610,3,412,7,25,20,86,9,17
611,1,1465,6,32,12,89,24,14
612,1,1180,16,21,30,69,9,10
613,3,1308,16,33,8,96,20,6
614,1,612,13,12,1,33,5,13
615,3,1218,15,16,13,63,9,1
616,2,1300,37,7,24,14,20,8
617,1,1330,14,20,26,97,21,6
618,3,1435,31,6,24,84,15,20
619,4,895,31,36,27,44,11,23
620,3,957,17,30,30,9,12,16
621,1,783,11,10,16,23,14,11
622,4,348,31,24,21,86,8,3
623,1,620,17,21,15,72,24,16
624,4,1484,6,6,12,71,10,17
625,3,1418,20,1,13,18,6,10
626,3,357,25,4,5,24,19,4
627,3,64,13,11,29,92,22,8
628,2,402,10,29,29,7,25,12
629,1,789,14,10,18,90,22,11
630,4,252,8,34,13,1,11,16
631,4,1338,13,27,3,38,12,7
632,3,660,10,1,6,94,14,13
633,1,551,9,20,25,30,17,15
634,1,681,22,27,9,99,21,7
635,1,852,26,17,13,7,13,3
636,3,1174,2,30,4,44,7,19
637,3,891,3,16,24,6,23,13
638,1,494,19,16,12,90,16,11
639,1,767,16,28,1,61,13,23
640,4,1500,5,9,11,20,16,24
641,3,349,3,29,28,15,18,6
642,2,1495,5,34,29,52,23,2
643,4,124,17,31,17,58,5,13
644,4,913,10,2,22,7,10,18
645,2,996,7,31,15,72,2,8
646,1,1390,14,27,24,22,11,1
647,4,560,13,9,2,23,12,1
648,1,327,31,1,7,73,26,15
649,3,238,4,32,23,31,27,6
650,2,680,28,16,8,46,19,1
651,3,617,12,15,19,48,8,2
652,4,579,35,13,20,97,21,10
653,4,664,5,37,10,10,14,14
654,4,553,33,5,2,63,5,18
655,4,564,20,11,7,1,11,5
656,4,120,19,2,18,1,23,8
657,1,1111,28,26,10,30,23,17
658,4,932,12,14,21,54,15,9
659,3,479,29,19,8,24,5,14
660,3,970,28,28,6,65,24,1
661,3,93,25,4,12,73,9,17
662,3,1430,13,15,25,47,7,16
663,1,1076,31,30,6,33,16,8
664,3,750,15,10,2,29,9,20
665,1,609,24,27,28,44,24,3
666,2,779,34,20,14,51,11,22
667,4,99,24,3,11,80,14,22
668,4,1062,6,21,8,20,18,7
669,4,444,18,6,6,2,3,3
670,3,341,21,17,19,33,9,17
671,4,228,21,34,21,98,7,4
672,2,1264,7,25,2,74,7,12
673,1,388,17,28,15,85,5,2
674,3,477,25,19,24,18,22,20
675,3,876,8,5,2,95,21,10
676,4,809,37,11,5,64,20,16
677,1,722,6,28,28,84,15,23
678,1,1126,13,17,16,78,6,1
679,1,614,18,24,28,66,9,22
680,4,1380,4,35,1,72,8,23
681,4,954,13,29,28,87,19,12
682,1,1484,7,13,28,31,17,4
683,2,190,16,23,5,96,14,21
684,1,1221,30,23,8,91,3,16
685,3,1148,35,10,6,73,6,17
686,2,852,25,25,13,33,23,13
687,2,863,13,34,8,43,9,18
688,1,1289,14,15,29,52,19,12
689,3,459,18,21,24,31,5,15
690,4,59,21,4,15,9,18,16
691,3,559,13,34,18,21,10,7
692,4,916,2,24,12,80,13,21
693,2,919,33,32,25,83,18,13
694,4,306,1,9,10,26,25,3
695,2,988,20,31,5,22,19,12
696,4,300,12,24,20,46,15,19
697,3,620,37,8,30,58,16,22
698,3,509,12,23,4,59,13,13
699,4,288,3,2,22,22,10,11
700,4,1369,34,34,8,11,6,3
701,3,1021,34,13,3,39,10,6
702,2,761,34,16,5,34,8,3
703,1,1275,6,18,8,40,13,3
704,1,910,33,19,12,76,4,18
705,2,1458,34,31,9,57,10,11
706,1,647,4,10,12,51,13,6
707,4,1006,20,15,21,42,20,15
708,3,264,5,16,3,72,17,2
709,1,232,20,23,4,53,3,18
710,4,276,35,32,21,18,23,24
711,4,464,2,7,29,34,27,9
712,3,1321,29,28,20,10,26,15
713,1,1106,18,5,4,76,3,12
714,3,1069,17,7,9,6,15,15
715,3,264,21,29,17,29,19,19
716,4,1219,25,33,14,90,4,9
717,4,1356,8,25,15,96,13,9
718,4,1130,7,26,5,41,10,3
719,4,473,18,4,15,82,22,10
720,2,888,29,34,28,91,14,7
721,4,636,15,24,16,69,26,1
722,3,1280,2,29,29,54,4,7
723,2,1317,3,12,8,10,20,22
724,4,727,8,9,21,69,11,23
725,2,450,31,32,18,16,3,23
726,2,67,22,4,8,85,4,18
727,4,737,9,26,25,20,24,6
728,4,846,34,6,11,93,13,23
729,3,782,14,24,17,11,26,16
730,3,697,6,37,2,9,19,9
731,1,1428,13,32,13,27,15,3
732,1,806,17,2,30,33,3,13
733,4,924,21,21,7,66,11,11
734,4,1262,26,11,26,48,27,16
735,4,363,8,2,15,17,2,4
736,1,1320,8,1,30,82,25,1
737,3,474,10,22,13,1,20,19
738,2,568,34,8,1,5,7,9
739,4,943,17,21,2,67,5,20
740,3,152,36,2,18,39,4,11
741,3,600,30,30,1,23,16,12
742,3,566,10,37,14,81,18,7
743,2,1245,19,28,14,44,27,18
744,2,1264,7,33,6,88,9,3
745,2,1305,10,35,13,16,7,1
746,2,1062,16,23,4,68,25,15
747,4,1190,35,5,3,16,6,8
748,1,979,11,34,14,29,19,2
749,4,1424,25,7,26,30,16,22
750,2,740,30,26,21,1,14,11
751,2,606,9,16,13,17,16,7
752,2,953,12,33,13,43,15,21
753,4,1096,13,3,30,29,25,12
754,1,352,4,4,15,46,20,8
755,2,1150,7,17,27,52,14,1
756,1,759,26,35,22,35,17,19
757,2,1323,9,7,16,79,9,4
758,2,336,18,20,26,37,10,18
759,1,1128,35,26,7,81,3,19
760,4,445,26,23,1,57,8,8
